"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
298,"3","","","","","",,9,1385,,"","",""
301,"8 Б","","","","","",,0,935,,"","",""
304,"6","","","","","",,0,874,,"","",""
305,"7","","","","631","",,0,231,,"","",""
306,"4","","","","","",,0,529,,"","",""
309,"56","","","","","",,0,45,,"","",""
310,"18","","","","","",,0,855,,"","",""
23664,"51 Б","","","","","",,0,6,,"","",""
312,"15","","","","","",,0,185,,"","",""
819,"84-86","","","","","",,0,438,,"","",""
820,"33","","","","","",,0,314,,"","",""
821,"4","","","","","",,0,63,,"","",""
822,"49","","","","","",,0,54,20,"","",""
23665,"17 А","","","","","",,2,1446,,"","",""
23668,"3 Б","","","","","",,2,1398,,"","",""
850,"75/75 А","","","","","",,0,65,,"","",""
854,"72","","","","","",,0,54,,"","",""
858,"17","","","","","",,0,231,,"","",""
885,"34-1","","","","","",,0,50,,"","",""
910,"18-26","","","","","",,0,722,,"","",""
914,"","","","","","",,0,,,"","",""
922,"36-2","","","","","",,0,722,,"","",""
926,"","","","","","",,0,188,,"","",""
23676,"4","","","","","",,2,2111,,"","",""
23807,"2","","","","","",,14,2124,,"","",""
1021,"","","","","","",,0,,,"","",""
1029,"76-76 Б","","","","","",,0,902,,"","",""
1033,"138 А","","","","","",,0,515,,"","",""
22207,"17","","","","7","",,0,491,,"","",""
1045,"9","","","","","",,0,197,,"","",""
1049,"4 А","","","","","",,0,902,,"","",""
1052,"","","","","","",,0,1006,11,"","",""
1069,"15/2","","","","","",,0,198,,"","",""
1084,"136","","","","311 а","",,0,515,,"","",""
1088,"42/2","","","","","",,0,415,,"","",""
1092,"90","","","","","",,0,6,6,"","",""
1096,"71 А","","","","","",,0,245,,"","",""
1104,"45","","","","","",,0,98,,"","",""
1108,"17 Б","","","","","",,0,188,,"(ор-р: Мега-Центр, 1 этаж)","",""
23808,"114","","","","","",,194,1287,,"","",""
1115,"21","","","","","",,0,371,,"","",""
1123,"137-143","","","","","",,0,6,,"","",""
1134,"","","","","","",,6,,,"","",""
1142,"33","","","","","",,0,179,,"","",""
1147,"49","","","3","313","",,0,54,,"Рембыттехника","",""
1151,"10","","","","","",,0,1577,,"","",""
1155,"127","","","","","",,0,214,,"","",""
1159,"2","","","","","",,0,436,,"","",""
1163,"8","","","","1","",,0,348,,"","",""
1167,"55","","А","","","",,0,214,,"","",""
1172,"2/18","","","","","",,0,850,9,"","",""
23809,"23","","","","","",,70,1718,,"","",""
23810,"14","","","","","",,304,1723,,"","",""
11545,"9/3","","","","","",,0,172,,"","",""
170,"40","","","","602","",,0,535,,"","",""
399,"83","","","","","301",,0,352,0,"","",""
400,"18","","В","2","","",,0,314,,"","",""
402,"136","","","","313","",,0,515,,"","",""
20030,"11","","","","","",,18,1046,,"","",""
23811,"20","","","","","",,82,1726,,"","",""
20031,"10","","","","","",,18,1491,,"","",""
409,"7/11","","","","201, 206","",,0,231,,"","",""
20032,"9","","","","","",,246,1909,,"","",""
411,"7","","","","","120",,0,231,0,"","",""
412,"7","","","","","125",,0,231,8,"","",""
414,"3 Г","","","","","",,0,146,6,"","",""
422,"36 Б","","","1","","",,0,766,,"","",""
23812,"68","","","","","",,191,1721,,"","",""
23813,"1","","","","","",,83,1724,,"","",""
23814,"3","","","","","",,264,1719,,"","",""
457,"1","","","","1","",,0,103,,"","",""
491,"45","","","","","",,0,657,,"","",""
