"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
550,"Вектор безопасности",589,959,5,"",553,1,"Вектор безопасности ООО"
552,"Пустовойтенко И.И.",591,963,7,"",555,1,"Пустовойтенко Н.И. ИП"
17841,"Сведар",17650,,5,"",16776,1,"Сведар"
591,"Ломбард Региональный залоговый дом",630,17517,5,"",602,1,"Ломбард Региональный залоговый дом"
24788,"ЧОО «Ягуар Блэк»",24503,,5,"",21006,1,"Ягуар Блэк ЧОП"
601,"Компьютер плаза",640,16558,5,"",610,1,"Компьютер плаза"
604,"Телепорт-Янтарь",643,19544,8,"",613,1,"Телепорт-Янтарь ЗАО"
47,"Атури",86,24730,5,"",63,1,"Атури ООО"
51,"Снайге Атлант",90,58,22,"",67,1,"Снайге Атлант"
25273,"Модная собачка",24983,,5,"",21421,1,"Модная собачка"
68,"Геррос Группа компаний",107,19851,8,"",84,1,"НЕДОЗВОН/Геррос"
79,"Беляев Л.А.",118,27887,7,"",96,1,"CENTRUM КАНЦТОВАРЫ (Германия)"
82,"Ле ВИП-стиль",121,14874,5,"",100,1,"КАМИНЫ & ИНТЕРЬЕР САЛОН-МАГАЗИН"
88,"Глагольева М.",127,140,7,"",105,1,"Студия красоты Марины Глагольевой"
92,"Техновент",131,147,5,"",108,1,"Техновент"
94,"Энтур",133,12139,5,"",110,1,"Энтур ООО"
259,"Автотекс",298,433,5,"",264,1,"Автотекс"
265,"ВТБ 24 ЗАО Операционный офис Калининградский",304,446,8,"",270,1,"ВТБ 24 ЗАО Операционный офис Калининградский"
270,"РосСтрой",309,456,8,"",275,1,"РосСтрой Cтроительная корпорация"
25274,"Эйкос Балт ООО",24984,,5,"",21422,1,"Эйкос Балт ООО"
608,"Аудиоклиника",647,1065,5,"",617,1,"Аудиоклиника мастерская "
25275,"Промсервис СЗ ООО",24985,,5,"",21423,1,"Промсервис СЗ ООО"
627,"Ходорович С.М.",666,1105,7,"",642,1,"Сезам "
638,"Franke",677,21148,5,"",655,1,"Franke Техника для кухни"
647,"Сервис-Партнер",686,1131,5,"",664,1,"Сервис-Партнер ГК"
25278,"ОВК-Инстал ООО",24988,,5,"",21425,1,"ОВК-Инстал ООО"
710,"Электроникс-Калининград",749,,5,"",728,1,"Электроникс-Калининград"
715,"Русский Страховой Брокерский Дом",754,1257,5,"",732,1,"Русский Страховой Брокерский Дом"
