city_id,name,phone_code
370,"Пограничное (Багратионовский р-н)",40156
401,"Каширское (Гурьевский р-н)",40151
278,"Каменка (Зеленоградский р-н)",40150
280,"Дорожный (Гурьевский р-н)",4012
281,"Высокое (Гурьевский р-н)",4012
403,"Васильково (Зеленоградский р-н)",40150
85,"Коврово (Зеленоградский р-н)",40150
87,"Комсомольск (Гвардейский р-н)",40159
88,"Константиновка (Гурьевский р-н)",40151
89,"Кострово (Зеленоградский р-н)",40150
91,"Красноторовка (Зеленоградский р-н)",40150
97,"Лесной (Зеленоградский р-н)",40150
99,"Маршальское (Гурьевский р-н)",40151
106,"Ново-Гурьевское (Озерский р-н)",40142
110,"Олехово (Озерский р-н)",40142
116,"Островское (Гвардейский р-н)",40159
121,"Первомайское (Гурьевский р-н)",40151
125,"Петрово (Гурьевский р-н)",40151
129,"Поддубное (Гурьевский р-н)",4012
136,"Романово (Зеленоградский р-н)",40150
138,"Славинск (Гвардейский р-н)",40159
142,"Талпаки (Гвардейский р-н)",40159
147,"Узловое (Краснознаменский р-н)",40164
150,"Чернышевское (Нестеровский р-н)",40144
151,"Шоссейное (Гурьевский р-н)",40151
154,"Щеглы (Черняховский р-н)",40141
157,"Яблоновка (Гвардейский р-н)",40159
158,"Ягодное (Правдинский р-н)",40157
165,"Высокое (Славский р-н)",40163
168,"Причалы (Славский р-н)",40163
174,"Луговое (Гурьевский р-н)",4012
179,"Низовье (Гурьевский р-н)",40151
189,"Майское  (Гусевский р-н)",40143
193,"Свобода (Черняховский р-н)",40141
270,"Рощино (Гурьевский р-н)",4012
271,"Знаменское (Правдинский р-н)",40157
277,"Малое Лесное (Гурьевский р-н)",4012
279,"Лесное (Гурьевский р-н)",4012
282,"Ясеньское (Гвардейский р-н)",40159
195,"Ясное (Славский р-н)",40163
222,"Долгоруково (Багратионовский р-н)",40156
224,"Пограничный (Краснознаменский р-н)",40164
227,"Красный Яр (Гвардейский р-н)",40159
229,"Прегольский",4012
233,"Шевченко (Правдинский р-н)",40157
251,"Саранское (Полесский р-н)",40158
254,"Медовое (Багратионовский р-н)",40156
258,"Надеждино (Багратионовский р-н)",40156
260,"Суворово (Гвардейский р-н)",40159
266,"Дружный (Гурьевский р-н)",40151
12,"Пионерский",40155
219,"Новоселово (Багратионовский р-н)",40156
3,"Светлый",40152
1,"Неман",40162
0,"Калининград",4012
22,"Полесск",40158
197,"Поддубы  (Гусевский р-н)",40143
206,"Березовка (Багратионовский р-н)",40156
267,"Зеленое (Нестеровский р-н)",40144
102,"Маяковское  (Гусевский р-н)",40143
104,"Мичуринский (Неманский р-н)",40162
111,"Ольховатка  (Гусевский р-н)",40143
117,"Острогожское (Краснознаменский р-н)",40164
126,"Победино (Славский р-н)",40163
130,"Правдино (Краснознаменский р-н)",40164
137,"Рыбачий (Зеленоградский р-н)",40150
139,"Славянское (Гурьевский р-н)",40151
143,"Тимирязево (Славский р-н)",40163
146,"Тургенево (Полесский р-н)",40158
148,"Фурманово  (Гусевский р-н)",40143
152,"Храброво (Гурьевский р-н)",4012
155,"Яблоновка (Озерский р-н)",40142
159,"Янтарный",40153
173,"Заречье (Гурьевский р-н)",40151
175,"Моргуново (Гурьевский р-н)",40151
191,"Доваторовка (Черняховский р-н)",40141
194,"Привольное (Черняховский р-н)",40141
283,"Малое Отважное (Багратионовский р-н)",40156
264,"Междуречье (Черняховский р-н)",40141
24,"Знаменск (Гвардейский р-н)",40159
