"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
16472,"ХАДО-Калининград",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
16474,"Авиамир",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
23343,"Дружба ЖСК",24.06.13,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
23342,"Домовёнок ",24.06.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
661,"КАЛИНИНГРАДАГРОСНАБ ОАО",19.06.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1013
713,"X-Телеком",20.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
59,"Форсайд Агентство недвижимости",29.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
23344,"Дуэт +",24.06.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
68,"Торговое холодильное оборудование",29.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
84,"НЕДОЗВОН/Геррос",29.05.07,1006,2,1,0,"GTS_ADMIN",14.11.12,"",1010
91,"Фест",29.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
96,"CENTRUM КАНЦТОВАРЫ (Германия)",29.05.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1010
280,"Твой Дом",01.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
287,"Зеленоглазое Такси",01.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
685,"СТ-СтройПроект",20.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
23345,"Евро бордюр",24.06.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
23346,"Евродом",24.06.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
1892,"Балттекстиль",11.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
55,"ОПЕРАТИВНАЯ ПОЛИГРАФИЯ ТИПОГРАФИЯ",29.05.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1013
116,"Балтийский Дом",30.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
23347,"Евролаб",24.06.13,1007,2,1,1,"GTS_ADMIN",18.12.13,"GTS_ADMIN",1011
167,"НЕДОЗВОН/Виктория",30.05.07,1007,2,1,0,"GTS_ADMIN",12.09.13,"",1022
183,"НЕДОЗВОН/Виндзор",31.05.07,1007,2,1,0,"GTS_ADMIN",12.09.13,"",1022
200,"Центр-Авто",31.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
213,"СанТермо ООО",31.05.07,1007,2,1,1,"GTS_ADMIN",07.02.14,"",1013
236,"Лакор ООО",31.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
250,"Медицинская одежда",31.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
259,"Балтийское стекло ГК",31.05.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
18975,"Светлогорская центральная городская детская библиотека",22.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
18210,"Автозапчасти VA6 Audi Skoda Fiat",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
369,"Рек-Сервис",05.06.07,1007,2,1,1,"GTS_ADMIN",26.12.13,"",1010
398,"Калининградская Вечерка",06.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
22562,"Бэбимания Магазин для беременных",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
428,"Юстиция Специализированная коллегия адвокатов НО",06.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
471,"Вкус-сервис ООО",07.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
482,"РИКО-Авто",07.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
499,"Рессавто",07.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
22563,"Бэва-авто",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
1490,"Christrio Школа-студия маникюра",07.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
1616,"Москоммерцбанк ОАО ФКБ",14.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
18930,"Мануфактура ТД ООО",19.11.10,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
22564,"Бюро бухгалтерских услуг",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
18935,"Кремний ООО",19.11.10,1007,2,1,1,"GTS_ADMIN",20.12.13,"GTS_ADMIN",1022
22565,"Бюро бухгалтерских услуг ",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
1661,"ДАШЕ",15.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1021
1665,"Парк-Тур",15.08.07,1007,2,1,1,"GTS_ADMIN",18.12.13,"",1010
1674,"Барнаульский ТОЦ",15.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
1703,"Карапуз",16.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
1727,"Новомед МЦ",17.08.07,1007,2,3,1,"GTS_ADMIN",11.11.13,"",1013
1761,"Севзапэлектромонтаж Кд ООО",20.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
1766,"ГермаФлекс ООО",20.08.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1010
1794,"ОМС-Калининград",21.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
1811,"Pictorica ООО",24.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
1860,"Панорама Служба замены окон",10.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
22566,"Бюро земельных отношений ООО",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
349,"Бюро иностранных языков ООО",02.06.07,1007,2,1,1,"GTS_ADMIN",04.02.14,"",1010
18963,"Водоканал ВНС Полоцкая",22.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
22567,"Бюро кредитных решений",15.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
438,"КСИЛ Калининград ООО",06.06.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1007
