"CONTRACT_ID","ORG_ID","CONTRACT_NAME","CONTRACT_CODE","TRANSACTION_DATE","CONTRACT_AMOUNT","PAYED_AMOUNT","DEBIT","STATUS_ID","PAY_DATE","SUGGEST_PAY_DATE"
342,3335,"218","218-ГТС-2008",29.08.07,3500,3500,0,1003,,""
346,3359,"713","713-ГТС-2008",20.07.07,20000,0,-20000,1003,,""
2710,1981,"490","490-ГТС-2011",01.12.10,13500,0,-13500,1003,,""
386,484,"737","737-ГТС-2008",02.10.07,7000,0,-7000,1003,,""
409,3675,"241","241-ГТС-2008",16.10.07,15000,0,-15000,1003,,""
411,3677,"242","242-ГТС-2008",16.10.07,7000,0,-7000,1003,,""
3287,1067,"134/1","134/1-ГТС-2013",14.08.12,11000,0,-11000,1003,,""
506,421,"480","480-ГТС-2008",02.11.07,3500,0,-3500,1003,,""
3286,1066,"134","134-ГТС-2013",14.08.12,11000,0,-11000,1003,,""
572,6566,"544","544-ГТС-2008",07.11.07,10000,0,-10000,1003,,""
3928,22511,"358","358-ГТС-2014",11.11.13,8100,0,-8100,1003,,""
3668,12716,"457","457-ГТС-2014",31.05.13,8000,0,-8000,1003,,""
3667,20234,"487","487-ГТС-2014",31.05.13,4000,0,-4000,1003,,""
687,6703,"251","251-ГТС-2008",14.11.07,7500,0,-7500,1003,,""
699,6964,"258","258-ГТС-2008",23.11.07,18000,0,-18000,1003,,""
723,3469,"735","735-ГТС-2008",18.09.07,13800,0,-13800,1003,,""
3289,10376,"105","105-ГТС-2013",19.04.12,48750,0,-48750,1003,,""
393,1182,"739","739-ГТС-2008",10.10.07,3500,0,-3500,1003,,""
478,1035,"247","247-ГТС-2008",26.10.07,3500,0,-3500,1003,,""
2222,3807,"410","410-ГТС-2011",14.04.10,8000,0,-8000,1003,,""
508,390,"450","450-ГТС-2008",30.08.07,3000,0,-3000,1003,,""
3290,259,"112","112-ГТС-2013",17.05.12,19550,0,-19550,1003,,""
3929,22015,"362","362-ГТС-2014",08.11.13,7200,0,-7200,1003,,""
544,4456,"534","534-ГТС-2008",16.10.07,7000,0,-7000,1003,,""
548,5805,"535/1","535/1-ГТС-2008",17.10.07,,0,,1003,,""
72,923,"116","116-ГТС-2008",19.06.07,3500,0,-3500,1003,,""
75,1092,"202","202-ГТС-2008",27.04.07,30000,0,-30000,1003,,""
91,1108,"717/1","717/1-ГТС-2008",04.07.07,0,0,0,1003,,""
108,1129,"422","422-ГТС-2008",18.06.07,3500,3500,0,1003,,""
111,1131,"428","428-ГТС-2008",04.07.07,7000,0,-7000,1003,,""
117,1138,"206","206-ГТС-2008",26.03.07,15000,0,-15000,1003,,""
119,1067,"208","208-ГТС-2008",05.06.07,3500,3500,0,1003,,""
