"RUB_ID","ORG_ID"
49,9329
99,9366
4,1327
10,1327
28,270
182,272
49,14037
64,7835
84,14037
85,278
317,877
31,878
319,15923
68,882
87,883
96,883
144,883
43,884
194,885
158,887
106,20868
158,894
197,895
184,14112
49,14142
159,899
128,14142
105,906
199,908
184,14142
395,15032
64,911
163,2736
134,966
132,916
96,17738
87,17738
138,967
128,17796
56,18165
164,18165
303,972
210,974
131,23720
76,976
47,979
96,20246
8,1327
184,20247
49,20247
138,21330
106,21330
170,21330
10,1340
306,1336
318,1338
62,1339
155,15959
4,1340
107,21330
327,21330
183,21330
317,1345
45,3353
197,11286
180,1346
4,1346
10,1346
166,7957
117,7957
141,21330
53,8879
342,21330
213,8882
45,21330
4,1350
348,1348
4,1349
10,1350
349,1351
49,21703
184,21703
79,21794
102,21906
330,21957
96,21957
47,22025
181,2192
205,23747
158,23747
197,10870
130,2196
77,2197
410,11752
119,2203
41,16004
157,2205
102,19775
370,19775
216,2207
86,2208
187,2209
92,2210
99,19775
92,2216
42,15978
199,2219
51,23764
199,2221
130,10767
66,2223
51,23765
51,23766
51,23767
51,23768
162,2227
185,2228
193,2228
182,2222
51,23769
51,23770
51,23771
4,2229
12,2230
4,2231
305,2232
5,2232
344,2233
10,2236
178,2237
51,23772
159,2241
86,2242
10,2243
51,23777
51,23774
51,23775
144,2252
138,2253
18,2254
16,15997
71,16002
65,16004
332,90
107,2258
51,23776
159,2260
316,2261
336,2261
143,2261
51,23778
51,23779
31,13908
51,23780
183,5051
12,6936
157,2264
145,1782
128,23836
58,2269
71,23837
43,2272
56,23815
191,2277
10,16033
105,2278
10,16037
57,16038
181,2282
49,23813
312,23838
154,21234
102,2286
109,71
386,21567
31,21567
191,2291
43,2292
217,2293
123,2295
5,647
312,16055
123,2302
305,16055
123,2305
123,2306
123,2307
123,2308
144,673
52,12875
134,2313
344,23839
63,7371
134,2315
52,2315
192,8121
375,23840
52,2318
134,2318
39,23840
43,23842
105,16072
134,2321
52,2321
217,2322
53,23843
124,16077
164,2325
51,2326
19,23844
308,23845
217,23846
19,23847
217,23848
71,4156
99,960
182,23911
182,2337
407,7812
335,11309
10,23910
12,2341
45,2342
67,23912
143,2343
206,2345
