"BRANCH_ID","PHONE_ID","NAME","FAX","DIRECTOR","CONTACT","DESCRIPTION","PUBLISHABLE","MOBILE","MOBILE_PREFIX"
21156,36003,"21330",0,0,0,"",1,,
21157,36008,"21384",0,0,0,"",1,,
21164,36014,"33560",1,0,0,"",0,,
21187,36049,"956322",0,0,0,"",1,,
29328,53618,"0739600",0,0,0,"",1,1,911
27322,53619,"923460",0,0,0,"",0,,
27711,50169,"900382",0,0,0,"",1,,
13474,36052,"584922",0,0,0,"Директор",0,,
646,1130,"760046",0,0,0,"",1,,
10412,40830,"337788",0,0,0,"",1,,
12373,19854,"2654562",0,0,0,"",1,1,962
27711,50170,"900384",0,0,0,"",0,,
743,1297,"776010",0,0,0,"",0,,
27711,50171,"2900382",0,0,0,"",0,1,908
784,1351,"643737",1,0,0,"",1,,
820,1395,"641660",0,0,0,"",1,,
847,1430,"631701",0,0,0,"",0,,
901,1524,"911111",0,0,0,"",1,,
29330,53623,"30019",0,0,0,"Председатель",1,,
23216,40834,"777690",0,0,0,"",1,,
23216,40835,"2180027",0,0,0,"",0,1,906
29330,53624,"30016",0,0,0,"Помощник председателя",1,,
62,79,"930001",0,0,0,"",1,,
27711,50172,"2900384",0,0,0,"",0,1,908
18999,31966,"758765",0,0,0,"",1,,
23217,40836,"732393",0,0,0,"",1,,
27712,50173,"321700",0,0,0,"",1,,
73,111,"320066",1,0,0,"",1,,
23187,40837,"992821",0,0,0,"",0,,
27713,50174,"376628",0,0,0,"",1,,
280,479,"991500",1,0,0,"",1,,
282,483,"356563",0,0,0,"",1,,
23187,40838,"992801",0,0,0,"",1,,
758,1319,"352815",0,0,0,"",1,,
825,1400,"714612",0,0,0,"",1,,
29332,53626,"35422",0,0,0,"",1,,
842,1424,"217592",1,0,0,"",0,,
5017,53640,"916861",0,0,0,"Отдел по работе с дебиторской задолженностью",1,,
871,1482,"211829",0,0,0,"",1,,
20151,39503,"702687",0,0,0,"",0,,
11899,39504,"533866",0,0,0,"",1,,
5017,53641,"563136",0,0,0,"Отдел по работе с дебиторской задолженностью",0,,
363,631,"538353",0,0,0,"",1,,
380,662,"377541",0,0,0,"",1,,
389,680,"718143",1,0,0,"",1,,
18592,31968,"669166",0,0,0,"",1,,
5017,53642,"957133",0,0,0,"Отдел расчетов с абонентами",1,,
5017,53643,"218293",0,0,0,"Техническая инспекция",1,,
24137,42674,"311080",0,0,0,"",1,1,4012
24137,42675,"311070",0,0,0,"",0,1,4012
24137,42676,"311058",0,0,0,"",0,1,4012
24137,42677,"32373",0,0,0,"",0,,
19002,31971,"508718",0,0,0,"",1,,
