id,rub_id,name
1,362,"Круги отрезные"
2,362,"Наждачная бумага"
3,362,"Отрезные круги"
4,362,"Шлифовальные материалы"
5,303,"Авиакассы"
6,303,"Авиакомпании"
7,303,"Авиаперевозки"
8,303,"Билеты на самолет"
9,1,"Авиатопливо"
10,1,"Аэропорт"
11,1,"Грузовые авиаперевозки"
12,321,"Автостанция"
13,2,"АЗС"
14,4,"Запчасти для автомобилей"
15,5,"Автокосметика"
16,5,"Масла и смазки"
17,5,"Моторные масла"
18,340,"АСУ"
19,340,"Монтаж и наладка систем"
20,340,"Умный дом"
207,347,"Ремонт компьютеров"
21,7,"Мойка автомобилей"
188,314,"Фарфор"
189,314,"Хрусталь"
190,81,"Комплексная уборка"
191,81,"Уборка помещений"
192,82,"Домофоны"
193,82,"Замки"
194,83,"Методические пособия"
195,83,"Учебники"
196,325,"Напольные покрытия"
197,325,"Паркет"
198,84,"Меховые изделия"
199,366,"Возврат долгов"
200,326,"Секонд хенд"
201,327,"Насосы"
202,85,"Копировальная техника"
203,85,"Оргтехника"
204,85,"Офисное оборудование"
205,85,"Принтеры"
206,347,"Заправка картриджей"
208,335,"Автоматика"
209,335,"Пневматика"
210,346,"Кассовые аппараты"
211,346,"Кассовая лента"
212,86,"Гигиенические товары"
213,86,"Парфюмерия"
214,87,"Аппаратная косметология"
215,87,"Эстетическая косметология"
216,328,"Косметологическое оборудование"
217,89,"Лаки"
218,89,"Растворители"
219,399,"Займы"
220,399,"Ипотека"
221,307,"Трудоустройство моряков"
222,367,"Ковка"
223,92,"Йога"
224,92,"Студия танца"
225,92,"Учебный центр"
226,93,"Экспресс-доставка"
227,406,"Оборудование для лабораторий"
228,94,"Факторинг"
229,95,"Подъемное оборудование"
230,95,"Эскалаторы"
231,306,"Автоломбард"
232,96,"SPA"
233,96,"СПА"
234,97,"Вагоны"
235,99,"Корпусная мебель, изготовление"
236,99,"Кухни на заказ"
237,99,"Фабрика мебели"
238,99,"Шкафы, изготовление"
239,99,"Шкафы-купе, изготовление"
240,102,"Детские кроватки"
241,102,"Офисная мебель"
242,103,"Перетяжка мебели"
243,103,"Реставрация мебели"
244,105,"Клиники"
245,105,"Лечебно-диагностические центры"
246,106,"Глюкометры"
247,106,"Дезинфекционные средства"
248,106,"Инвалидные коляски"
249,106,"Ингаляторы"
250,106,"Медицинская одежда, обувь"
251,106,"Медицинское оборудование, мебель"
252,106,"Рецикуляторы бактерицидные"
253,106,"Тест-полоски к глюкометрам"
254,107,"Алюминиевые конструкции"
255,107,"Вышки"
256,107,"Леса строительные"
257,107,"Стремянки"
258,107,"Строительные леса"
259,108,"Металлолом"
260,108,"Цветные металлы"
261,109,"Вышки"
262,109,"Запчасти для вертолетов"
263,109,"Леса строительные"
264,109,"Стремянки"
265,110,"Операторы мобильной связи"
266,113,"Молочные продукты"
267,114,"Катера"
268,114,"Лодки"
269,114,"Яхты"
270,116,"Вывоз мусора"
271,118,"Памятники"
272,119,"Алкогольные напитки"
273,121,"Безалкогольные напитки"
274,121,"Вода"
275,121,"Доставка питьевой воды"
276,123,"Аренда помещений"
277,123,"Продажа квартир"
278,127,"Ремонт обуви"
279,128,"Обувные магазины"
280,130,"Рабочая одежда"
