"RUB_ID","NAME"
143,"ОЦЕНКА СОБСТВЕННОСТИ"
144,"ПАРИКМАХЕРСКИЕ И САЛОНЫ КРАСОТЫ"
145,"ПИРОТЕХНИКА, ФЕЙЕРВЕРКИ"
146,"ПИЩЕВОЕ ОБОРУДОВАНИЕ"
147,"ПЛАСТИКОВЫЕ КАРТЫ"
148,"ПЛАСТМАССОВЫЕ И РЕЗИНОВЫЕ ИЗДЕЛИЯ"
149,"ПОГРУЗЧИКИ"
150,"ПОДАРКИ, СУВЕНИРЫ"
151,"ПОЖАРНАЯ БЕЗОПАСНОСТЬ"
152,"ПОЛИГРАФИЯ И ИЗДАТЕЛЬСТВА"
153,"ПОРТОВОЕ ХОЗЯЙСТВО"
154,"ПОСТЕЛЬНЫЕ ПРИНАДЛЕЖНОСТИ, МАТРАСЫ"
155,"ПОСУДА И СТОЛОВЫЕ ПРИБОРЫ"
156,"ПРАЧЕЧНЫЕ"
157,"ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ"
158,"ПРОДУКТЫ ПИТАНИЯ: ПРОИЗВОДСТВО И РЕАЛИЗАЦИЯ"
159,"ПРОЕКТИРОВАНИЕ И АРХИТЕКТУРА"
386,"ЗАБОРЫ, ВОРОТА"
387,"ТЕНТЫ"
162,"РЕКЛАМА"
163,"РЕКЛАМНО-СУВЕНИРНАЯ ПРОДУКЦИЯ"
164,"РЕСТОРАНЫ, БАРЫ"
165,"РИТУАЛЬНЫЕ УСЛУГИ"
166,"РЫБА И МОРСКИЕ ПРОДУКТЫ"
167,"САДОВО-ОГОРОДНЫЕ ТОВАРЫ"
168,"САНТЕХНИКА"
169,"СВАДЕБНЫЕ САЛОНЫ"
170,"СВАРОЧНЫЕ МАТЕРИАЛЫ, ОБОРУДОВАНИЕ, РАБОТЫ"
171,"СЕЛЬСКОХОЗЯЙСТВЕННАЯ ТЕХНИКА, МЕХАНИЗМЫ, ОБОРУДОВАНИЕ"
172,"СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРОИЗВОДСТВО"
173,"ПИТОМНИКИ: РАСТЕНИЯ, СЕМЕНА"
174,"СКЛАДСКИЕ УСЛУГИ"
175,"СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЕ КОМПЛЕКСЫ"
399,"КРЕДИТОВАНИЕ, ИПОТЕКА"
177,"СПОРТИВНЫЕ ТОВАРЫ"
178,"СТОМАТОЛОГИЯ"
179,"СТРАХОВАНИЕ"
180,"СТРОИТЕЛЬНАЯ, СЕЛЬСКОХОЗЯЙСТВЕННАЯ, СПЕЦИАЛЬНАЯ ТЕХНИКА"
181,"СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ"
182,"СТРОИТЕЛЬНЫЕ, ОТДЕЛОЧНЫЕ РАБОТЫ"
183,"СУДОСТРОЕНИЕ И СУДОРЕМОНТ"
184,"СУМКИ, ЧЕМОДАНЫ, ПОРТФЕЛИ"
185,"СЧЕТЧИКИ ВОДЫ, ГАЗА, ТЕПЛА"
186,"ТАБАЧНЫЕ ИЗДЕЛИЯ"
187,"ТАКСИ"
188,"ТАМОЖЕННЫЕ УСЛУГИ"
189,"ТАРА И УПАКОВКА"
190,"ТЕЛЕВИДЕНИЕ"
362,"АБРАЗИВНЫЕ МАТЕРИАЛЫ И ИНСТРУМЕНТЫ"
363,"БИОТУАЛЕТЫ"
364,"ГИДРОТЕХНИЧЕСКИЕ РАБОТЫ"
400,"ТОРГОВЫЕ И ОФИСНЫЕ ЦЕНТРЫ"
366,"КОЛЛЕКТОРСКИЕ УСЛУГИ"
367,"КУЗНИЦЫ"
368,"МЕБЕЛЬНАЯ ФУРНИТУРА"
369,"ПОЛЕЗНЫЕ ИСКОПАЕМЫЕ: ДОБЫЧА И ПЕРЕРАБОТКА"
370,"РЕСТОРАНЫ, БАРЫ, ГОСТИНИЦЫ: ОБОРУДОВАНИЕ И ОСНАЩЕНИЕ"
371,"СЕРТИФИКАЦИЯ И МЕТРОЛОГИЯ"
372,"СРУБЫ"
375,"СЕРВИСНЫЕ ЦЕНТРЫ"
376,"ГРАВИРОВКА"
377,"УТИЛИЗАЦИЯ ОТХОДОВ"
380,"ПРЯЖА, ШЕРСТЬ, ШВЕЙНАЯ ФУРНИТУРА"
381,"СОЦИОЛОГИЧЕСКИЕ ОПРОСЫ"
382,"ИНТЕРНЕТ-КАФЕ, КЛУБЫ"
383,"ВЕЛО-, МОТОТЕХНИКА"
373,"ДОРОЖНО-СТРОИТЕЛЬНЫЕ РАБОТЫ"
385,"АКТИВНЫЙ ОТДЫХ"
388,"СТРОИТЕЛЬНЫЕ СУПЕРМАРКЕТЫ"
391,"КОНФЕРЕНЦ-ЗАЛЫ"
395,"ПРОДОВОЛЬСТВЕННЫЕ МАГАЗИНЫ"
393,"ИГРОВЫЕ ВИДЕОПРИСТАВКИ"
398,"ПСИХОЛОГИЯ"
402,"ФОТООБОИ"
396,"ТОВАРЫ ДЛЯ ЗДОРОВЬЯ, БИОЛОГИЧЕСКИ АКТИВНЫЕ ДОБАВКИ"
397,"САМОРЕГУЛИРУЕМЫЕ ОРГАНИЗАЦИИ"
191,"ТЕЛЕКОММУНИКАЦИИ, ОБОРУДОВАНИЕ"
192,"ТЕЛЕКОММУНИКАЦИИ, ОПЕРАТОРЫ СВЯЗИ. IP-ТЕЛЕФОНИЯ"
193,"ТЕПЛОСНАБЖЕНИЕ"
194,"ТКАНИ, ТЮЛЬ, ШТОРЫ, КАРНИЗЫ"
195,"ТОПЛИВО"
196,"ТОРГОВОЕ ОБОРУДОВАНИЕ"
197,"ТРАНСПОРТНО-ЭКСПЕДИТОРСКИЕ УСЛУГИ, ЛОГИСТИКА"
198,"ТРУДОУСТРОЙСТВО"
199,"ТУРИСТИЧЕСКИЕ ФИРМЫ"
200,"ФИЛЬТРЫ ДЛЯ ВОДЫ"
201,"ФОТОПЕЧАТЬ"
202,"ФОТОСТУДИИ, САЛОНЫ"
203,"ХИМИЯ: ПРОИЗВОДСТВО И РЕАЛИЗАЦИЯ"
204,"ХИМЧИСТКИ"
205,"ХЛЕБОБУЛОЧНЫЕ И КОНДИТЕРСКИЕ ИЗДЕЛИЯ"
206,"ХОЗЯЙСТВЕННЫЕ ТОВАРЫ"
207,"ХОЛОДИЛЬНОЕ ОБОРУДОВАНИЕ"
208,"ЦВЕТОЧНЫЕ САЛОНЫ"
209,"ЦЕЛЛЮЛОЗНО-БУМАЖНАЯ ПРОДУКЦИЯ"
210,"ЧАСЫ"
211,"ЧУЛОЧНО-НОСОЧНЫЕ ИЗДЕЛИЯ: ПРОИЗВОДСТВО И ПРОДАЖА"
212,"ШВЕЙНЫЕ И ВЯЗАЛЬНЫЕ МАШИНЫ"
213,"ЭЛЕКТРОМОНТАЖНЫЕ РАБОТЫ"
214,"ЭЛЕКТРОСНАБЖЕНИЕ"
215,"ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОМАТЕРИАЛЫ"
216,"ЮВЕЛИРНЫЕ ИЗДЕЛИЯ"
217,"ЮРИДИЧЕСКИЕ УСЛУГИ"
