"STREET_ID","POST_INDEX_ID","COMMENTS"
1021,105,""
1022,106,""
1031,111,""
1079,108,""
1084,109,""
1085,110,""
1128,107,""
28,3,""
847,15,""
245,3,""
640,0,""
585,5,""
1157,107,""
1158,107,""
1159,110,""
1165,112,""
1175,105,""
1176,108,""
1177,112,""
1178,110,""
1179,113,""
1180,121,""
1181,104,""
1182,110,""
1183,121,""
1188,110,""
1189,118,""
1192,105,""
1193,105,""
1194,110,""
1195,110,""
1196,108,""
1197,107,""
1218,118,""
1223,113,""
1224,105,""
1233,128,""
1234,136,""
585,130,""
348,131,""
369,134,""
1047,135,""
367,136,""
1240,138,""
1241,144,""
1242,145,""
1244,150,""
1246,154,""
1256,113,""
1260,141,""
1262,142,""
1269,159,""
1020,181,""
1282,182,""
1289,106,""
1289,188,""
1158,192,""
1296,196,""
1317,120,""
1319,207,""
1320,208,""
1322,210,""
1323,102,""
1324,211,""
1316,105,""
1329,212,""
1330,213,""
1331,214,""
1337,120,""
1344,111,""
1338,220,""
1340,108,""
1346,112,""
1347,121,""
1351,109,""
1352,118,""
1354,112,""
1355,107,""
1386,190,""
1387,126,""
1388,137,""
1389,133,""
1390,226,""
1395,109,""
1396,109,""
1407,168,""
438,21,""
201,21,""
201,5,""
63,21,""
1424,107,""
1425,168,""
1038,103,""
1427,116,""
1429,154,""
1430,117,""
1431,102,""
6,236,""
1433,104,""
1434,107,""
535,11,""
1438,112,""
1440,154,""
1441,156,""
1443,107,""
1444,169,""
1445,223,""
1446,113,""
1450,109,""
1451,104,""
1453,126,""
1454,105,""
1455,118,""
1456,154,""
1457,107,""
1458,112,""
1459,112,""
1460,112,""
1462,239,""
1463,114,""
1464,103,""
1465,126,""
1466,111,""
1467,126,""
1468,126,""
1469,126,""
1470,191,""
1471,111,""
1472,111,""
1485,114,""
1486,169,""
1491,102,""
1497,235,""
1499,235,""
1500,235,""
1518,106,""
1519,104,""
1520,107,""
1521,114,""
1522,169,""
1523,113,""
1018,111,""
1017,111,""
1054,111,""
1055,105,""
1056,103,""
1057,106,""
1058,120,""
1059,112,""
1095,107,""
820,120,""
1029,120,""
1020,110,""
1066,120,""
1050,110,""
1097,111,""
1098,105,""
1100,116,""
1101,110,""
1102,110,""
1103,110,""
1105,110,""
1106,104,""
1107,104,""
1109,104,""
1110,104,""
1112,106,""
1114,114,""
902,102,""
369,102,""
1119,121,""
1120,121,""
1105,121,""
415,121,""
1123,117,""
636,117,""
684,118,""
821,118,""
1130,105,""
1142,115,""
1144,109,""
1145,118,""
1146,105,""
1152,109,""
1153,117,""
1154,109,""
1155,16,""
352,11,""
1016,6,""
515,8,""
1156,113,""
1184,106,""
1185,121,""
1186,109,""
1187,113,""
1198,107,""
1066,107,""
1200,107,""
1201,107,""
1203,106,""
1204,103,""
1205,105,""
1206,117,""
1207,125,""
1210,111,""
1211,110,""
1213,111,""
1214,115,""
1215,102,""
1216,108,""
1217,126,""
1194,127,""
1222,107,""
1225,105,""
1226,117,""
1227,121,""
1196,118,""
1230,113,""
1231,105,""
1232,110,""
1248,154,""
1249,113,""
1250,113,""
1252,167,""
1253,168,""
1255,170,""
1257,171,""
1258,172,""
1259,173,""
1261,174,""
1263,166,""
1264,175,""
1266,177,""
1268,178,""
1272,180,""
913,164,""
1276,161,""
1277,165,""
1081,113,""
1279,113,""
1280,109,""
1281,109,""
1287,186,""
1290,189,""
1291,190,""
1293,191,""
1299,197,""
1305,203,""
1313,120,""
1030,113,""
1348,116,""
1349,107,""
1373,106,""
1379,118,""
1082,113,""
1382,220,""
1384,225,""
1385,105,""
1392,181,""
1398,113,""
1399,109,""
1400,103,""
1401,167,""
231,228,""
1403,108,""
1404,178,""
1405,115,""
1406,120,""
1414,121,""
1417,123,""
1421,104,""
1435,104,""
1452,169,""
1488,114,""
1489,114,""
1490,102,""
1515,107,""
1516,107,""
1365,222,""
1033,104,""
1150,123,""
1366,106,""
1366,223,""
1367,113,""
1370,111,""
1375,114,""
1376,113,""
1474,111,""
1475,234,""
1476,232,""
1477,240,""
1478,232,""
1481,232,""
1482,124,""
1483,232,""
1484,240,""
0,15,""
2,13,""
3,4,""
4,4,""
5,4,""
